"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Nanton, Alberta, Royal Canadian Mounted Police, rural [48001]","2021A002548001","Crime severity index","Index","160","units","0","v66455220","2.1","77.77","","","","2"
"2021","Nanton, Alberta, Royal Canadian Mounted Police, rural [48001]","2021A002548001","Crime severity index","Index","160","units","0","v66455220","2.1","50.13","","","","2"
"2022","Nanton, Alberta, Royal Canadian Mounted Police, rural [48001]","2021A002548001","Crime severity index","Index","160","units","0","v66455220","2.1","113.45","","","","2"
"2001","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","0.00","","","","2"
"2002","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","90.35","","","","2"
"2003","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","173.38","","","","2"
"2004","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","125.87","","","","2"
"2005","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","123.92","","","","2"
"2006","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","0.00","","","","2"
"2007","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","0.00","","","","2"
"2008","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","0.00","","","","2"
"2009","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","","..","","","2"
"2010","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","","..","","","2"
"2011","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","","..","","","2"
"2012","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","","..","","","2"
"2013","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","","..","","","2"
"2014","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","","..","","","2"
"2015","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","","..","","","2"
"2016","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","","..","","","2"
"2017","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","","..","","","2"
"2018","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","","..","","","2"
"2019","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","","..","","","2"
"2020","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","","..","","","2"
"2021","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","","..","","","2"
"2022","Driftpile, Alberta, municipal [48003]","2021A002548003","Crime severity index","Index","160","units","0","v66455232","3.1","","..","","","2"
"2001","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","0.00","","","","2"
"2002","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","0.00","","","","2"
"2003","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","0.00","","","","2"
"2004","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","956.88","","","","2"
"2005","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","746.72","","","","2"
"2006","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","822.34","","","","2"
"2007","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","660.43","","","","2"
"2008","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","683.66","","","","2"
"2009","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","709.74","","","","2"
"2010","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","257.06","","","","2"
"2011","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","237.22","","","","2"
"2012","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","","..","","","2"
"2013","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","","..","","","2"
"2014","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","","..","","","2"
"2015","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","","..","","","2"
"2016","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","","..","","","2"
"2017","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","","..","","","2"
"2018","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","","..","","","2"
"2019","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","661.44","","","","2"
"2020","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","460.22","","","","2"
"2021","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","249.92","","","","2"
"2022","Tsuut'ina, Alberta, municipal [48004]","2021A002548004","Crime severity index","Index","160","units","0","v66455244","4.1","248.24","","","","2"
"2001","Chestermere, Alberta, Royal Canadian Mounted Police, municipal [48005]","2021A002548005","Crime severity index","Index","160","units","0","v66455256","5.1","0.00","","","","2"
"2002","Chestermere, Alberta, Royal Canadian Mounted Police, municipal [48005]","2021A002548005","Crime severity index","Index","160","units","0","v66455256","5.1","0.00","","","","2"
"2003","Chestermere, Alberta, Royal Canadian Mounted Police, municipal [48005]","2021A002548005","Crime severity index","Index","160","units","0","v66455256","5.1","0.00","","","","2"
"2004","Chestermere, Alberta, Royal Canadian Mounted Police, municipal [48005]","2021A002548005","Crime severity index","Index","160","units","0","v66455256","5.1","0.00","","","","2"
"2005","Chestermere, Alberta, Royal Canadian Mounted Police, municipal [48005]","2021A002548005","Crime severity index","Index","160","units","0","v66455256","5.1","28.69","","","","2"
"2006","Chestermere, Alberta, Royal Canadian Mounted Police, municipal [48005]","2021A002548005","Crime severity index","Index","160","units","0","v66455256","5.1","78.69","","","","2"
"2007","Chestermere, Alberta, Royal Canadian Mounted Police, municipal [48005]","2021A002548005","Crime severity index","Index","160","units","0","v66455256","5.1","105.49","","","","2"
"2008","Chestermere, Alberta, Royal Canadian Mounted Police, municipal [48005]","2021A002548005","Crime severity index","Index","160","units","0","v66455256","5.1","105.85","","","","2"
"2009","Chestermere, Alberta, Royal Canadian Mounted Police, municipal [48005]","2021A002548005","Crime severity index","Index","160","units","0","v66455256","5.1","71.57","","","","2"
"2010","Chestermere, Alberta, Royal Canadian Mounted Police, municipal [48005]","2021A002548005","Crime severity index","Index","160","units","0","v66455256","5.1","57.64","","","","2"
"2011","Chestermere, Alberta, Royal Canadian Mounted Police, municipal [48005]","2021A002548005","Crime severity index","Index","160","units","0","v66455256","5.1","51.77","","","","2"
"2012","Chestermere, Alberta, Royal Canadian Mounted Police, municipal [48005]","2021A002548005","Crime severity index","Index","160","units","0","v66455256","5.1","48.01","","","","2"
"2013","Chestermere, Alberta, Royal Canadian Mounted Police, municipal [48005]","2021A002548005","Crime severity index","Index","160","units","0","v66455256","5.1","41.22","","","","2"
