"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003","Amos, Quebec, municipal [24004]","2021A002524004","Crime severity index","Index","160","units","0","v65968229","3.1","0.00","","","","2"
"2004","Amos, Quebec, municipal [24004]","2021A002524004","Crime severity index","Index","160","units","0","v65968229","3.1","0.00","","","","2"
"2005","Amos, Quebec, municipal [24004]","2021A002524004","Crime severity index","Index","160","units","0","v65968229","3.1","0.00","","","","2"
"2006","Amos, Quebec, municipal [24004]","2021A002524004","Crime severity index","Index","160","units","0","v65968229","3.1","","..","","","2"
"2007","Amos, Quebec, municipal [24004]","2021A002524004","Crime severity index","Index","160","units","0","v65968229","3.1","","..","","","2"
"2008","Amos, Quebec, municipal [24004]","2021A002524004","Crime severity index","Index","160","units","0","v65968229","3.1","","..","","","2"
"2009","Amos, Quebec, municipal [24004]","2021A002524004","Crime severity index","Index","160","units","0","v65968229","3.1","","..","","","2"
"2010","Amos, Quebec, municipal [24004]","2021A002524004","Crime severity index","Index","160","units","0","v65968229","3.1","","..","","","2"
"2011","Amos, Quebec, municipal [24004]","2021A002524004","Crime severity index","Index","160","units","0","v65968229","3.1","","..","","","2"
"2012","Amos, Quebec, municipal [24004]","2021A002524004","Crime severity index","Index","160","units","0","v65968229","3.1","","..","","","2"
"2013","Amos, Quebec, municipal [24004]","2021A002524004","Crime severity index","Index","160","units","0","v65968229","3.1","","..","","","2"
"2014","Amos, Quebec, municipal [24004]","2021A002524004","Crime severity index","Index","160","units","0","v65968229","3.1","","..","","","2"
"2015","Amos, Quebec, municipal [24004]","2021A002524004","Crime severity index","Index","160","units","0","v65968229","3.1","","..","","","2"
"2016","Amos, Quebec, municipal [24004]","2021A002524004","Crime severity index","Index","160","units","0","v65968229","3.1","","..","","","2"
"2017","Amos, Quebec, municipal [24004]","2021A002524004","Crime severity index","Index","160","units","0","v65968229","3.1","","..","","","2"
"2018","Amos, Quebec, municipal [24004]","2021A002524004","Crime severity index","Index","160","units","0","v65968229","3.1","","..","","","2"
"2019","Amos, Quebec, municipal [24004]","2021A002524004","Crime severity index","Index","160","units","0","v65968229","3.1","","..","","","2"
"2020","Amos, Quebec, municipal [24004]","2021A002524004","Crime severity index","Index","160","units","0","v65968229","3.1","","..","","","2"
"2021","Amos, Quebec, municipal [24004]","2021A002524004","Crime severity index","Index","160","units","0","v65968229","3.1","","..","","","2"
"2022","Amos, Quebec, municipal [24004]","2021A002524004","Crime severity index","Index","160","units","0","v65968229","3.1","","..","","","2"
