"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Truro (CA), Nova Scotia","2016S0504215","Both sexes","All ages","Persons","249","units","0","v1060774471","10.1.1","46275","","","","0"
"2006","Truro (CA), Nova Scotia","2016S0504215","Both sexes","All ages","Persons","249","units","0","v1060774471","10.1.1","46226","","","","0"
"2007","Truro (CA), Nova Scotia","2016S0504215","Both sexes","All ages","Persons","249","units","0","v1060774471","10.1.1","46297","","","","0"
"2008","Truro (CA), Nova Scotia","2016S0504215","Both sexes","All ages","Persons","249","units","0","v1060774471","10.1.1","46484","","","","0"
"2009","Truro (CA), Nova Scotia","2016S0504215","Both sexes","All ages","Persons","249","units","0","v1060774471","10.1.1","46790","","","","0"
"2010","Truro (CA), Nova Scotia","2016S0504215","Both sexes","All ages","Persons","249","units","0","v1060774471","10.1.1","46802","","","","0"
"2011","Truro (CA), Nova Scotia","2016S0504215","Both sexes","All ages","Persons","249","units","0","v1060774471","10.1.1","46913","","","","0"
"2012","Truro (CA), Nova Scotia","2016S0504215","Both sexes","All ages","Persons","249","units","0","v1060774471","10.1.1","46929","","","","0"
"2013","Truro (CA), Nova Scotia","2016S0504215","Both sexes","All ages","Persons","249","units","0","v1060774471","10.1.1","46733","","","","0"
"2014","Truro (CA), Nova Scotia","2016S0504215","Both sexes","All ages","Persons","249","units","0","v1060774471","10.1.1","46463","","","","0"
"2015","Truro (CA), Nova Scotia","2016S0504215","Both sexes","All ages","Persons","249","units","0","v1060774471","10.1.1","46323","","","","0"
"2016","Truro (CA), Nova Scotia","2016S0504215","Both sexes","All ages","Persons","249","units","0","v1060774471","10.1.1","46588","","","","0"
"2017","Truro (CA), Nova Scotia","2016S0504215","Both sexes","All ages","Persons","249","units","0","v1060774471","10.1.1","46497","","","","0"
"2018","Truro (CA), Nova Scotia","2016S0504215","Both sexes","All ages","Persons","249","units","0","v1060774471","10.1.1","46629","","","","0"
"2019","Truro (CA), Nova Scotia","2016S0504215","Both sexes","All ages","Persons","249","units","0","v1060774471","10.1.1","46873","","","","0"
"2020","Truro (CA), Nova Scotia","2016S0504215","Both sexes","All ages","Persons","249","units","0","v1060774471","10.1.1","47173","","","","0"
"2021","Truro (CA), Nova Scotia","2016S0504215","Both sexes","All ages","Persons","249","units","0","v1060774471","10.1.1","47412","","","","0"
"2022","Truro (CA), Nova Scotia","2016S0504215","Both sexes","All ages","Persons","249","units","0","v1060774471","10.1.1","48282","","","","0"
"2001","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","37734","","","","0"
"2002","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","37550","","","","0"
"2003","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","37570","","","","0"
"2004","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","37547","","","","0"
"2005","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","37455","","","","0"
"2006","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","37172","","","","0"
"2007","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","36765","","","","0"
"2008","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","36571","","","","0"
"2009","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","36594","","","","0"
"2010","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","36621","","","","0"
"2011","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","36574","","","","0"
"2012","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","36303","","","","0"
"2013","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","35957","","","","0"
"2014","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","35661","","","","0"
"2015","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","35282","","","","0"
"2016","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","35053","","","","0"
"2017","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","34958","","","","0"
"2018","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","34863","","","","0"
"2019","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","34854","","","","0"
"2020","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","34950","","","","0"
"2021","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","35250","","","","0"
"2022","New Glasgow (CA), Nova Scotia","2016S0504220","Both sexes","All ages","Persons","249","units","0","v1060774801","11.1.1","35717","","","","0"
"2001","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","112044","","","","0"
"2002","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","110942","","","","0"
"2003","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","110373","","","","0"
"2004","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","110397","","","","0"
"2005","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","109020","","","","0"
"2006","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","108217","","","","0"
"2007","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","106827","","","","0"
"2008","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","105817","","","","0"
"2009","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","105057","","","","0"
"2010","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","104473","","","","0"
"2011","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","103646","","","","0"
"2012","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","103122","","","","0"
"2013","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","102265","","","","0"
"2014","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","101593","","","","0"
"2015","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","100697","","","","0"
"2016","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","100359","","","","0"
"2017","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","99638","","","","0"
"2018","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","99553","","","","0"
"2019","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","100995","","","","0"
"2020","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","100258","","","","0"
"2021","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","97924","","","","0"
"2022","Cape Breton (CA), Nova Scotia","2016S0504225","Both sexes","All ages","Persons","249","units","0","v1060775131","12.1.1","98821","","","","0"
"2001","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","88455","","","","0"
"2002","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","89437","","","","0"
"2003","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","90235","","","","0"
"2004","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","90978","","","","0"
"2005","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","91498","","","","0"
"2006","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","92589","","","","0"
"2007","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","93391","","","","0"
"2008","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","94586","","","","0"
"2009","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","96273","","","","0"
"2010","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","97869","","","","0"
"2011","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","99338","","","","0"
"2012","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","100362","","","","0"
"2013","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","101494","","","","0"
"2014","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","102122","","","","0"
"2015","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","102896","","","","0"
"2016","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","104387","","","","0"
"2017","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","106034","","","","0"
"2018","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","107761","","","","0"
"2019","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","109759","","","","0"
"2020","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","111369","","","","0"
"2021","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","112428","","","","0"
"2022","Fredericton (CA), New Brunswick","2016S0504320","Both sexes","All ages","Persons","249","units","0","v1060776121","15.1.1","116159","","","","0"
"2001","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","34433","","","","0"
"2002","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","34050","","","","0"
"2003","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","33733","","","","0"
"2004","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","33458","","","","0"
"2005","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","33230","","","","0"
"2006","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","32998","","","","0"
"2007","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","32735","","","","0"
"2008","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","32509","","","","0"
"2009","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","32367","","","","0"
"2010","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","32235","","","","0"
"2011","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","31973","","","","0"
"2012","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","31952","","","","0"
"2013","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","31834","","","","0"
"2014","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","31675","","","","0"
"2015","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","31673","","","","0"
"2016","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","31688","","","","0"
"2017","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","31650","","","","0"
"2018","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","31597","","","","0"
"2019","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","31687","","","","0"
"2020","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","31751","","","","0"
"2021","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","31742","","","","0"
"2022","Bathurst (CA), New Brunswick","2016S0504328","Both sexes","All ages","Persons","249","units","0","v1060776451","16.1.1","31999","","","","0"
"2001","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","30500","","","","0"
"2002","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","30250","","","","0"
"2003","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","30065","","","","0"
"2004","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","29899","","","","0"
"2005","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","29692","","","","0"
"2006","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","29328","","","","0"
"2007","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","29054","","","","0"
"2008","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","28768","","","","0"
"2009","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","28503","","","","0"
"2010","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","28383","","","","0"
"2011","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","28149","","","","0"
"2012","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","28216","","","","0"
"2013","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","28168","","","","0"
"2014","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","28132","","","","0"
"2015","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","28004","","","","0"
"2016","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","28033","","","","0"
"2017","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","27965","","","","0"
"2018","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","27894","","","","0"
"2019","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","27941","","","","0"
"2020","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","27981","","","","0"
"2021","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","28142","","","","0"
"2022","Miramichi (CA), New Brunswick","2016S0504329","Both sexes","All ages","Persons","249","units","0","v1060776781","17.1.1","28749","","","","0"
"2001","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","25692","","","","0"
"2002","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","25581","","","","0"
"2003","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","25368","","","","0"
"2004","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","25214","","","","0"
"2005","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","24993","","","","0"
"2006","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","24438","","","","0"
"2007","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","24295","","","","0"
"2008","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","24141","","","","0"
"2009","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","24023","","","","0"
"2010","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","23973","","","","0"
"2011","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","23891","","","","0"
"2012","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","24000","","","","0"
"2013","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","23894","","","","0"
"2014","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","23895","","","","0"
"2015","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","23915","","","","0"
"2016","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","23963","","","","0"
"2017","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","23996","","","","0"
"2018","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","23960","","","","0"
"2019","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","23904","","","","0"
"2020","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","23854","","","","0"
"2021","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","23839","","","","0"
"2022","Edmundston (CA), New Brunswick","2016S0504335","Both sexes","All ages","Persons","249","units","0","v1060777111","18.1.1","24132","","","","0"
"2001","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","18676","","","","0"
"2002","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","18376","","","","0"
"2003","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","18252","","","","0"
"2004","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","18013","","","","0"
"2005","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","17873","","","","0"
"2006","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","17683","","","","0"
"2007","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","17592","","","","0"
"2008","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","17531","","","","0"
"2009","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","17463","","","","0"
"2010","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","17425","","","","0"
"2011","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","17367","","","","0"
"2012","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","17127","","","","0"
"2013","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","16880","","","","0"
"2014","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","16648","","","","0"
"2015","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","16509","","","","0"
"2016","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","16274","","","","0"
"2017","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","16180","","","","0"
"2018","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","16076","","","","0"
"2019","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","15999","","","","0"
"2020","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","15913","","","","0"
"2021","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","15805","","","","0"
"2022","Campbellton (CA), New Brunswick/Quebec","2016S0504330","Both sexes","All ages","Persons","249","units","0","v1060777441","19.1.1","15896","","","","0"
"2001","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","15668","","","","0"
"2002","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","15372","","","","0"
"2003","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","15240","","","","0"
"2004","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","14998","","","","0"
"2005","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","14816","","","","0"
"2006","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","14592","","","","0"
"2007","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","14444","","","","0"
"2008","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","14325","","","","0"
"2009","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","14187","","","","0"
"2010","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","14105","","","","0"
"2011","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","14040","","","","0"
"2012","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","13860","","","","0"
"2013","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","13689","","","","0"
"2014","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","13538","","","","0"
"2015","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","13473","","","","0"
"2016","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","13356","","","","0"
"2017","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","13259","","","","0"
"2018","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","13126","","","","0"
"2019","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","13021","","","","0"
"2020","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","12968","","","","0"
"2021","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","12865","","","","0"
"2022","Campbellton (CA), New Brunswick part, New Brunswick","2016S050613330","Both sexes","All ages","Persons","249","units","0","v1060777771","20.1.1","12943","","","","0"
"2001","Campbellton (CA), Quebec part, Quebec","2016S050624330","Both sexes","All ages","Persons","249","units","0","v1060778101","21.1.1","3008","","","","0"
"2002","Campbellton (CA), Quebec part, Quebec","2016S050624330","Both sexes","All ages","Persons","249","units","0","v1060778101","21.1.1","3004","","","","0"
"2003","Campbellton (CA), Quebec part, Quebec","2016S050624330","Both sexes","All ages","Persons","249","units","0","v1060778101","21.1.1","3012","","","","0"
"2004","Campbellton (CA), Quebec part, Quebec","2016S050624330","Both sexes","All ages","Persons","249","units","0","v1060778101","21.1.1","3015","","","","0"
