"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","32668295","","","","0"
"2001","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","21174905","","","","0"
"2002","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","21500787","","","","0"
"2003","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","21753380","","","","0"
"2004","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","22011568","","","","0"
"2005","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","22277962","","","","0"
"2006","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","22584463","","","","0"
"2007","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","22857870","","","","0"
"2008","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","23163156","","","","0"
"2009","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","23502329","","","","0"
"2010","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","23827855","","","","0"
"2011","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","24124407","","","","0"
"2012","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","24454805","","","","0"
"2013","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","24776585","","","","0"
"2014","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","25084157","","","","0"
"2015","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","25315512","","","","0"
"2016","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","25660482","","","","0"
"2017","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","26044843","","","","0"
"2018","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","26495266","","","","0"
"2019","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","26963470","","","","0"
"2020","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","27305747","","","","0"
"2021","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","27433020","","","","0"
"2022","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","28006624","","","","0"
"2001","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","176468","","","","0"
"2002","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","177626","","","","0"
"2003","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","179026","","","","0"
"2004","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","181059","","","","0"
"2005","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","181720","","","","0"
"2006","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","183847","","","","0"
"2007","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","186173","","","","0"
"2008","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","189575","","","","0"
"2009","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","193867","","","","0"
"2010","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","198553","","","","0"
"2011","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","202376","","","","0"
"2012","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","204537","","","","0"
"2013","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","206257","","","","0"
"2014","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","208228","","","","0"
"2015","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","209191","","","","0"
"2016","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","211003","","","","0"
"2017","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","212144","","","","0"
"2018","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","212344","","","","0"
"2019","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","213113","","","","0"
"2020","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","213919","","","","0"
"2021","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","214267","","","","0"
"2022","St. John's (CMA), Newfoundland and Labrador","2016S0503001","Both sexes","All ages","Persons","249","units","0","v1060771501","1.1.1","219119","","","","0"
"2001","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","369252","","","","0"
"2002","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","374445","","","","0"
"2003","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","378091","","","","0"
"2004","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","380752","","","","0"
"2005","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","381940","","","","0"
"2006","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","384658","","","","0"
"2007","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","386402","","","","0"
"2008","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","389919","","","","0"
"2009","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","393688","","","","0"
"2010","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","398356","","","","0"
"2011","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","402074","","","","0"
"2012","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","404376","","","","0"
"2013","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","405598","","","","0"
"2014","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","407061","","","","0"
"2015","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","408017","","","","0"
"2016","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","414015","","","","0"
"2017","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","421712","","","","0"
"2018","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","429893","","","","0"
"2019","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","439835","","","","0"
"2020","Halifax (CMA), Nova Scotia","2016S0503205","Both sexes","All ages","Persons","249","units","0","v1060773811","8.1.1","450910","","","","0"
